Age,Salary,Experience,Performance_Score,Gender,Department,Hired,Hiring_Date,Location
29.0,41992,10 years,5,Male,Marketing,Y,2018-12-28,Seattle
46.0,60721,17 years,1,Male,HR,,2012-12-04,Austin
33.0,43112,8 years,6,Female,HR,,2020-09-18,
36.0,43820,12 years,1,M,,Yes,2017-08-15,
48.0,82071,23 years,5,Female,,Yes,2014-10-15,Boston
37.0,60904,13 years,1,Female,Sales,No,2012-04-05,
36.0,44292,8 years,10,M,Marketing,No,2010-02-20,
40.0,42242,14 years,1,F,,Y,2016-03-31,Seattle
23.0,48696,0 years,6,F,HR,Yes,2022-12-14,
37.0,66891,16 years,2,Female,Marketing,No,2018-10-29,New York
41.0,52823,19 years,3,,Marketing,Yes,2023-01-14,
25.0,43641,0 years,2,F,Sales,Yes,2014-10-05,
31.0,62725,10 years,5,Male,Marketing,No,2018-01-14,Austin
37.0,41963,8 years,9,Female,Engineering,No,2018-01-28,Boston
28.0,53992,9 years,10,,HR,Y,,
48.0,58180,26 years,7,Female,HR,Yes,2010-11-24,Seattle
38.0,46384,15 years,5,Female,Marketing,,,Austin
28.0,25000,4 years,5,Male,Sales,Yes,2016-08-18,
37.0,48275,8 years,4,Female,Sales,No,2019-09-15,New York
39.0,38201,17 years,9,Male,Engineering,,2018-11-27,Austin
31.0,25000,5 years,6,M,Marketing,,2015-11-05,Austin
44.0,70960,25 years,3,Male,Engineering,No,,Boston
28.0,61393,5 years,5,,Sales,Y,2011-07-14,Boston
51.0,75916,27 years,4,F,Engineering,No,2020-08-12,Seattle
25.0,63730,2 years,7,,Engineering,Yes,2015-11-25,New York
35.0,42241,16 years,8,F,Sales,No,2013-08-11,Boston
43.0,43746,23 years,6,Male,,Yes,2018-05-21,Seattle
39.0,58712,16 years,5,M,Sales,Yes,,
31.0,49756,9 years,2,Female,Marketing,,2021-01-04,Boston
18.0,27118,0 years,4,M,Marketing,Yes,2015-10-15,New York
42.0,54607,16 years,5,F,Sales,Yes,2023-10-06,
41.0,60378,,1,,Engineering,Y,2023-12-05,New York
33.0,55951,13 years,8,Male,Sales,Y,2010-08-01,Seattle
28.0,66664,13 years,7,F,Marketing,No,2020-09-26,
47.0,78409,29 years,4,Female,Engineering,Y,2020-10-10,Austin
43.0,50598,20 years,5,Male,Engineering,No,2018-12-03,Austin
44.0,69471,23 years,4,Male,Marketing,No,,
41.0,57651,22 years,2,Female,HR,No,2013-03-27,New York
24.0,25000,0 years,9,,Sales,No,2013-09-22,New York
46.0,71479,23 years,8,,Engineering,,2012-04-24,Boston
27.0,25000,4 years,9,Male,,Yes,2018-10-01,Boston
46.0,50701,26 years,9,M,HR,No,2018-12-15,New York
22.0,41398,4 years,10,Male,HR,Yes,2014-03-03,Austin
31.0,58812,7 years,4,,,Yes,2017-01-11,Boston
46.0,78546,23 years,3,Male,HR,Yes,2013-07-06,New York
38.0,52082,11 years,1,Male,Sales,,2012-07-25,Boston
47.0,59329,22 years,5,F,,No,2019-05-08,Seattle
38.0,58776,17 years,6,Female,HR,Yes,2019-08-16,Boston
40.0,40919,20 years,10,F,Engineering,Yes,2012-09-09,Boston
38.0,57814,16 years,10,Male,HR,Y,2019-08-09,Boston
34.0,42484,13 years,9,Female,,,2011-06-08,Austin
41.0,62480,21 years,8,Male,Sales,Yes,2012-04-09,Austin
42.0,46525,20 years,4,Male,Sales,No,2019-10-23,
28.0,31926,6 years,3,F,Engineering,Yes,2012-06-14,Seattle
19.0,25000,0 years,3,,Sales,Y,2021-01-01,New York
36.0,43964,11 years,9,Female,,,2020-09-16,Seattle
30.0,25000,11 years,2,Female,,,2023-11-05,Austin
24.0,25000,1 years,1,,Marketing,No,2010-02-06,Austin
23.0,25000,7 years,6,Female,Marketing,,2010-11-06,
39.0,54709,14 years,5,M,Marketing,No,2023-06-02,Seattle
36.0,52857,17 years,6,,Engineering,Yes,2023-03-31,New York
40.0,73620,15 years,3,M,HR,Yes,2020-09-23,Boston
45.0,71411,19 years,8,,,N,2021-09-25,
18.0,41757,0 years,9,M,Marketing,Yes,2023-04-22,New York
20.0,30699,0 years,1,Male,Marketing,Y,2010-10-31,Boston
33.0,44211,8 years,6,M,Marketing,No,2018-04-12,Seattle
45.0,68561,30 years,3,,,N,2012-03-22,New York
23.0,64371,0 years,3,Female,Marketing,Yes,2016-05-01,
24.0,42181,2 years,2,M,Marketing,Y,,
23.0,32719,0 years,8,Male,Engineering,,2016-03-27,Seattle
42.0,82052,25 years,5,,,,2017-01-28,New York
20.0,25000,0 years,7,Male,Marketing,,2019-02-22,New York
27.0,36882,2 years,7,F,Sales,,2014-03-01,Austin
28.0,65275,9 years,6,Male,,,2018-01-13,New York
31.0,45129,6 years,2,,,Yes,2022-09-17,Austin
28.0,58889,6 years,2,,,No,2023-01-03,Austin
46.0,55754,29 years,7,M,Engineering,,2021-01-12,Seattle
30.0,73760,7 years,10,F,HR,,2019-06-11,Seattle
44.0,39934,23 years,8,,Engineering,Yes,2011-04-22,Boston
46.0,39737,24 years,5,,,N,2017-12-21,Austin
34.0,61579,15 years,6,Male,,N,2022-02-15,Austin
27.0,60818,7 years,3,Female,Marketing,Yes,2017-04-09,
31.0,25000,11 years,1,Male,,No,2010-01-29,Austin
30.0,52891,7 years,9,F,,Y,,New York
31.0,47442,12 years,5,F,HR,,2016-03-06,Seattle
50.0,68395,30 years,1,Female,Sales,,2021-08-08,
26.0,49031,6 years,3,Female,Sales,Yes,2016-03-25,New York
18.0,25000,0 years,3,F,Sales,Y,2015-04-24,Seattle
32.0,35367,4 years,6,Female,Sales,Yes,2017-06-17,
24.0,33692,0 years,2,F,Sales,Yes,2018-11-27,New York
38.0,46104,19 years,6,F,Sales,,2013-01-14,New York
23.0,25273,0 years,2,Female,Marketing,No,2018-05-19,Boston
18.0,62223,0 years,8,Female,Engineering,Yes,2017-07-07,
34.0,35605,8 years,9,F,Engineering,Yes,2012-08-05,Boston
50.0,86389,30 years,3,F,HR,Yes,2019-06-18,New York
20.0,25304,0 years,7,Female,HR,Yes,2017-11-04,Austin
21.0,42276,1 years,5,F,Marketing,N,2017-01-20,
44.0,57231,20 years,7,Female,Engineering,No,2014-08-10,Austin
22.0,26702,0 years,6,M,Marketing,No,2013-03-05,
26.0,43863,4 years,2,M,Marketing,Y,2011-01-08,Seattle
,39597,19 years,6,Male,,Yes,2022-05-31,Austin
29.0,70294,2 years,4,Male,Sales,,2012-09-27,
35.0,72432,15 years,9,Male,Engineering,No,2021-02-27,Seattle
51.0,74144,27 years,9,Female,,,2012-05-01,New York
34.0,44416,10 years,9,F,HR,Yes,2016-01-01,
34.0,44857,10 years,4,Female,HR,Yes,2014-05-11,Seattle
36.0,63538,15 years,9,F,Engineering,Y,2021-05-18,New York
31.0,25000,7 years,9,Female,,N,2023-11-15,Boston
32.0,61530,16 years,1,Female,Marketing,,2018-12-21,Boston
39.0,51894,16 years,9,Female,Marketing,,2018-04-17,Seattle
33.0,39248,5 years,8,Male,Engineering,,2016-08-18,
21.0,41085,0 years,5,,HR,Yes,2020-06-20,New York
48.0,64668,20 years,10,Female,Engineering,Y,2015-02-08,New York
34.0,52410,11 years,2,Female,,Y,2022-03-03,Boston
25.0,41898,,6,Female,Marketing,,2021-01-03,New York
33.0,36554,7 years,6,Female,HR,Y,,New York
18.0,25000,0 years,2,Male,Engineering,,2014-02-28,Seattle
43.0,32979,19 years,10,Female,HR,,2015-03-06,
34.0,52060,11 years,6,Female,Marketing,No,2023-04-10,Seattle
52.0,56048,32 years,7,Female,HR,,2018-09-27,Seattle
29.0,42984,5 years,2,Male,Engineering,Yes,2015-11-02,New York
39.0,68401,22 years,2,Female,Marketing,,2014-06-22,Seattle
24.0,31207,4 years,4,Male,HR,Yes,2016-03-20,Boston
46.0,63432,28 years,6,F,Sales,Yes,2011-09-28,Austin
33.0,60237,7 years,9,,,,2017-05-21,New York
28.0,53282,1 years,9,Female,Marketing,Yes,,Austin
46.0,54688,21 years,3,Female,,Yes,2022-05-10,Seattle
39.0,65361,14 years,9,Male,HR,Y,2016-02-10,New York
53.0,64027,32 years,8,Female,Marketing,No,2023-07-06,Boston
39.0,51462,17 years,1,Male,Marketing,No,2010-06-03,Boston
53.0,79647,27 years,4,Male,Marketing,Y,2016-08-17,
24.0,25000,1 years,1,,Marketing,No,2010-02-06,Austin
44.0,62980,21 years,8,M,HR,,,Austin
18.0,26973,0 years,6,Female,Marketing,Y,2010-11-22,
18.0,25000,0 years,1,Female,Marketing,,2020-09-25,Austin
42.0,36762,19 years,4,Female,,Yes,2023-04-10,
40.0,56008,21 years,4,Male,Sales,Y,,
35.0,51995,11 years,9,M,,Yes,2012-03-15,Austin
25.0,28858,0 years,10,F,HR,Yes,2014-06-24,Boston
32.0,61777,13 years,1,F,HR,,2011-07-17,Boston
36.0,25000,16 years,5,Male,Marketing,Yes,2013-02-20,
37.0,53637,19 years,9,M,Marketing,Y,2019-03-09,Boston
18.0,25000,0 years,3,F,,N,,Austin
18.0,56559,0 years,6,,Marketing,,2018-11-11,Seattle
23.0,25000,1 years,3,Male,Engineering,Y,2023-03-13,Seattle
24.0,46034,4 years,3,,HR,Y,2020-11-14,Seattle
44.0,49917,21 years,8,Male,Marketing,Yes,2016-02-27,Austin
28.0,25000,11 years,4,M,Sales,,2020-09-29,
43.0,41947,25 years,8,Female,Engineering,,2022-09-25,Boston
44.0,38629,21 years,3,Male,Marketing,,2022-10-22,New York
,48664,11 years,5,Female,,Y,2018-04-17,Austin
31.0,39032,10 years,3,,Sales,Yes,,Austin
25.0,25000,0 years,4,Female,Marketing,Yes,2010-03-29,Austin
27.0,50024,1 years,4,Male,Marketing,,2020-04-21,Boston
37.0,25000,9 years,9,Male,HR,N,,
34.0,25000,13 years,1,Female,Sales,,,Austin
29.0,25000,8 years,7,Female,Sales,Yes,2023-02-12,New York
,63807,23 years,10,Male,Sales,N,2020-08-24,Boston
34.0,43270,14 years,10,Female,Sales,Yes,2016-07-24,Boston
28.0,35388,7 years,10,Male,HR,Y,2022-02-28,Boston
24.0,32324,7 years,5,Female,Sales,Yes,2010-05-11,Boston
44.0,34532,22 years,8,M,Marketing,,2022-02-04,
26.0,31862,3 years,6,F,Sales,No,,New York
48.0,51739,27 years,7,,,,2019-09-09,Boston
37.0,63945,17 years,4,Female,Engineering,Yes,2012-10-06,Seattle
32.0,36686,3 years,1,Female,,,2013-10-28,
32.0,39588,7 years,7,Female,Sales,,2019-04-27,Austin
36.0,33770,9 years,10,M,Sales,,,New York
32.0,48272,6 years,6,,Marketing,Yes,2015-06-28,Austin
29.0,47997,6 years,1,,Engineering,Y,2018-09-22,Austin
41.0,61720,19 years,1,Female,Sales,Yes,2012-04-17,Austin
44.0,106666,24 years,7,,HR,N,2016-11-06,
31.0,59223,7 years,6,F,Marketing,N,2020-12-31,
27.0,47009,8 years,4,F,Marketing,Yes,2012-10-22,Seattle
20.0,51051,0 years,4,Female,,N,2013-01-05,Austin
48.0,76315,24 years,5,M,Engineering,Yes,2011-07-10,Boston
38.0,39484,18 years,2,M,HR,Y,2016-10-18,Austin
34.0,32174,8 years,1,Female,Sales,No,2016-11-12,Boston
51.0,63926,26 years,2,Male,HR,,2016-12-27,New York
41.0,60674,19 years,2,Male,Marketing,Y,,New York
41.0,47715,15 years,8,F,HR,Y,2012-03-13,Boston
46.0,27792,20 years,5,Female,Engineering,Yes,2023-11-07,
34.0,33106,9 years,8,Male,HR,N,2012-06-01,
39.0,48975,16 years,9,,HR,Yes,2016-12-27,New York
45.0,56470,20 years,10,,,Yes,2017-04-30,Austin
46.0,50434,21 years,9,M,,Yes,2018-09-30,
18.0,31619,0 years,9,Male,Marketing,No,,Seattle
48.0,53498,23 years,3,Male,Engineering,Yes,2022-10-09,Austin
18.0,25000,0 years,4,Female,Marketing,,2021-12-24,Austin
31.0,29710,5 years,5,M,Marketing,Y,2019-03-06,New York
43.0,71297,20 years,6,Male,,N,2022-02-08,Seattle
30.0,51382,8 years,8,M,HR,Yes,2016-02-18,New York
60.0,62250,40 years,3,,Sales,Yes,2022-05-02,Seattle
18.0,25000,0 years,6,Male,Marketing,,2020-03-13,
42.0,42941,19 years,9,Female,Engineering,Yes,2021-12-20,New York
33.0,46607,14 years,8,M,Engineering,,2013-03-19,Boston
38.0,37430,11 years,10,Female,HR,Y,,
29.0,25000,8 years,5,Male,Engineering,Yes,,Austin
34.0,45637,11 years,7,Male,Engineering,Yes,2017-04-25,Boston
27.0,43252,3 years,7,Male,Sales,,2015-01-13,Austin
57.0,60134,33 years,10,F,Engineering,Yes,2022-06-19,Seattle
49.0,76616,23 years,10,M,Marketing,N,2013-10-04,
44.0,49577,18 years,4,,,No,2019-04-09,Boston
20.0,28134,1 years,8,Male,Engineering,Y,2014-12-21,Seattle
29.0,43971,2 years,4,Male,HR,Yes,,New York
25.0,66813,4 years,1,M,HR,No,2021-02-06,
34.0,71962,12 years,3,Male,Engineering,Yes,2013-10-28,New York
45.0,47352,20 years,5,Female,Sales,No,2013-01-26,Boston
31.0,50711,8 years,7,Female,Engineering,Yes,2011-07-25,Austin
23.0,41170,0 years,10,Female,Engineering,Yes,2020-09-05,
36.0,30823,15 years,2,Female,,N,2013-11-22,
27.0,25000,7 years,9,Male,,Yes,2014-12-05,New York
45.0,61830,21 years,9,Male,Engineering,N,2017-12-02,Boston
40.0,64572,20 years,3,F,HR,Y,2014-07-08,Seattle
38.0,50453,17 years,8,Female,Marketing,,2013-06-11,Seattle
39.0,39907,15 years,2,F,Marketing,Y,2023-05-14,New York
34.0,60954,9 years,3,F,Marketing,No,2020-10-18,New York
45.0,66312,19 years,7,Female,HR,No,2020-05-16,
18.0,25000,0 years,7,Male,,No,,Seattle
29.0,37440,11 years,8,M,Marketing,Y,2017-05-24,New York
31.0,46471,11 years,10,,Marketing,Y,2022-05-11,Austin
41.0,66322,20 years,6,Female,HR,Yes,2013-08-13,New York
37.0,32242,13 years,8,F,HR,Yes,2018-12-30,
34.0,35076,8 years,9,Male,Sales,,2017-09-28,Austin
37.0,53989,14 years,5,F,,,2014-09-15,Seattle
29.0,27244,8 years,4,M,Engineering,N,2012-09-26,Boston
23.0,60476,2 years,5,M,,Y,2021-12-14,Austin
28.0,61987,0 years,5,,Sales,No,2018-03-17,Seattle
32.0,45609,9 years,5,M,Engineering,No,2021-12-27,Austin
29.0,66412,10 years,9,Female,,Yes,2018-10-11,Seattle
34.0,31610,10 years,6,F,HR,No,2014-04-24,Austin
49.0,77726,29 years,4,Male,Marketing,Yes,2019-07-14,Boston
,56912,5 years,6,Female,Marketing,Yes,,Seattle
34.0,59788,13 years,9,Female,Marketing,Yes,2022-12-08,Boston
32.0,39429,11 years,6,Male,Sales,,2013-12-22,
39.0,25000,19 years,2,Female,Engineering,Yes,2019-08-11,
30.0,55140,7 years,9,M,Engineering,Yes,2019-03-21,Seattle
43.0,55269,21 years,1,,Sales,No,2021-04-20,New York
22.0,57357,0 years,3,Female,Sales,No,2012-03-27,New York
18.0,25000,,10,,Sales,Y,2011-09-23,Boston
27.0,25000,1 years,5,Male,,Yes,,New York
19.0,34064,0 years,6,F,HR,Yes,2017-06-07,Austin
21.0,54684,0 years,6,M,,No,2015-08-25,Austin
48.0,52441,26 years,4,F,Marketing,No,2017-01-03,Austin
28.0,37586,7 years,1,Female,,Yes,,
62.0,60904,36 years,10,,Sales,Y,2015-11-22,Austin
26.0,49207,2 years,3,Male,,Yes,2011-03-24,New York
45.0,66554,21 years,9,Female,,Yes,2015-08-11,
34.0,42106,16 years,5,F,Sales,Yes,,Boston
47.0,56657,24 years,8,F,HR,Y,2020-01-27,Seattle
34.0,44374,10 years,8,Female,Engineering,Y,2021-09-25,Seattle
28.0,25000,7 years,2,Female,Sales,Y,2017-10-10,New York
50.0,68770,17 years,9,F,Engineering,,2023-03-18,Boston
45.0,35686,23 years,9,,Marketing,Yes,2016-06-22,Seattle
29.0,54750,7 years,10,F,Engineering,Y,2013-10-20,Austin
28.0,54269,4 years,4,,HR,Y,2017-05-21,New York
51.0,72634,31 years,4,Male,Engineering,Y,,Seattle
48.0,70768,23 years,3,Female,,,2020-08-14,Boston
46.0,36344,30 years,3,Female,Sales,Yes,2016-12-10,Boston
31.0,36428,7 years,6,M,Engineering,Y,2021-09-25,
34.0,28674,11 years,8,,HR,,2015-10-29,Seattle
39.0,34024,15 years,4,,Engineering,Y,2018-08-09,
19.0,25000,1 years,9,Female,Engineering,No,2012-06-04,Austin
33.0,54410,11 years,2,M,Marketing,Yes,2020-10-28,Seattle
35.0,65111,10 years,1,,HR,Yes,2013-04-11,
32.0,44606,6 years,4,Female,,Y,2016-07-13,New York
19.0,25000,0 years,6,M,Sales,Y,2016-02-01,Boston
41.0,51048,16 years,3,,Sales,No,2022-11-08,Seattle
22.0,25000,1 years,4,Female,,Y,2016-08-09,Boston
34.0,43623,10 years,9,Male,,No,2013-01-24,Seattle
34.0,47249,8 years,7,Male,Engineering,Yes,2023-11-14,Austin
36.0,50934,14 years,4,Female,Sales,Yes,2020-10-20,New York
34.0,51878,11 years,10,F,,Yes,2015-03-02,Boston
18.0,29184,0 years,8,M,HR,Yes,2011-03-23,New York
48.0,33140,22 years,1,M,Engineering,,2015-05-06,
42.0,65538,11 years,10,Female,HR,Yes,2012-12-28,
31.0,35259,,7,,Sales,Yes,2021-09-26,Boston
28.0,25000,8 years,6,,HR,Y,2020-03-28,Boston
40.0,76200,19 years,4,F,Engineering,,2015-05-03,Seattle
20.0,25000,0 years,1,Male,Engineering,Yes,2020-03-31,New York
35.0,48831,12 years,8,,Marketing,Yes,2010-02-04,Boston
43.0,75560,21 years,6,Male,Engineering,Yes,2017-08-08,Boston
33.0,34769,,9,F,Engineering,Yes,2021-06-06,Austin
41.0,42262,26 years,1,F,,No,2013-09-24,
39.0,69142,9 years,3,M,Sales,Y,,Austin
37.0,77767,16 years,5,F,,Yes,,New York
36.0,44086,12 years,6,Female,Marketing,Yes,2018-08-09,Seattle
51.0,93267,24 years,3,F,HR,Yes,2018-10-16,
24.0,39422,,4,F,Sales,Yes,2022-07-07,New York
48.0,79177,26 years,9,F,,N,2016-12-01,Austin
29.0,46707,8 years,6,Male,,N,2022-08-16,Boston
44.0,42250,22 years,10,Male,Marketing,No,2019-05-28,Seattle
45.0,73100,21 years,4,Female,Sales,,2013-04-30,New York
35.0,33328,15 years,4,M,Engineering,N,,
22.0,30687,1 years,10,Male,,Y,2023-04-28,
43.0,54224,18 years,3,M,HR,Yes,2010-11-23,Seattle
40.0,68321,19 years,5,Female,Engineering,Yes,2015-06-04,New York
23.0,34825,1 years,3,Female,Engineering,Y,2021-06-22,
41.0,75948,16 years,5,M,Sales,,2019-09-01,Austin
31.0,44178,9 years,1,,Sales,Y,2018-05-31,New York
27.0,25000,7 years,6,Male,Marketing,Yes,2020-12-19,Austin
28.0,58332,6 years,5,Female,Sales,Y,2012-09-04,Boston
29.0,42767,9 years,5,F,,No,2021-09-04,
46.0,26762,25 years,6,Female,HR,Yes,2016-03-16,
18.0,25000,0 years,6,Male,Engineering,Yes,,Seattle
31.0,52769,10 years,7,Male,Marketing,,2011-02-25,Seattle
35.0,36339,10 years,8,Female,Sales,Yes,2022-12-07,New York
35.0,47288,12 years,1,M,Engineering,,2013-06-16,Boston
22.0,30847,0 years,5,Male,Marketing,Yes,2011-06-25,Seattle
18.0,36827,0 years,5,F,Marketing,Yes,2019-12-16,Boston
32.0,43433,12 years,10,M,Marketing,Yes,2019-12-12,Seattle
25.0,25161,1 years,8,Female,HR,,2020-03-03,Seattle
53.0,62852,,8,Male,Marketing,,2015-06-17,Boston
30.0,62404,9 years,8,M,Marketing,No,2019-08-14,
41.0,87680,20 years,7,Female,Engineering,Yes,2019-03-27,Austin
37.0,32468,19 years,1,M,,Y,2014-03-22,Seattle
18.0,39556,0 years,7,M,Marketing,Y,2021-03-14,Austin
31.0,58279,9 years,4,Male,HR,No,2011-06-07,
59.0,77618,38 years,6,Female,Engineering,No,2017-02-19,Seattle
28.0,76185,6 years,8,M,Sales,,2018-04-16,Boston
36.0,51636,15 years,3,M,,Yes,2019-09-16,Seattle
34.0,84961,16 years,4,M,Sales,Yes,2013-12-24,Austin
38.0,55446,17 years,3,Female,Marketing,Y,2012-01-17,New York
43.0,57586,15 years,10,Male,Engineering,,2017-01-10,New York
24.0,25000,0 years,6,Female,Engineering,N,2017-10-01,Boston
39.0,25000,23 years,9,,Marketing,,2012-10-09,
36.0,40950,3 years,7,Male,Sales,Y,2013-12-13,Seattle
48.0,49916,26 years,3,M,Engineering,,2010-03-15,Boston
44.0,63174,17 years,10,Female,HR,,2010-03-28,
57.0,60131,38 years,7,M,Marketing,Y,2015-10-07,Austin
39.0,31251,23 years,7,Male,,Yes,2011-05-05,New York
34.0,51596,12 years,7,Female,Engineering,Y,2017-10-19,Boston
18.0,52615,0 years,9,F,Engineering,N,,New York
42.0,40451,22 years,3,,HR,,2017-10-11,
41.0,29442,19 years,7,M,Engineering,Y,2017-06-12,Boston
37.0,68943,17 years,8,Female,,Yes,,
23.0,55166,0 years,3,,Marketing,No,2013-08-04,Boston
18.0,25612,0 years,5,Female,Sales,Yes,2017-06-23,Seattle
18.0,25000,0 years,3,Male,Sales,Yes,2022-02-25,Austin
23.0,25000,4 years,6,F,Engineering,Yes,2019-04-02,Austin
31.0,49634,9 years,7,F,Sales,Y,2021-10-22,Seattle
38.0,54339,12 years,3,,,,2022-04-04,
35.0,45875,9 years,4,Female,Marketing,Y,,Austin
46.0,68800,19 years,8,Female,Marketing,Y,2017-11-30,Boston
39.0,62519,19 years,7,,HR,Y,2020-08-21,New York
22.0,35822,0 years,3,Female,Marketing,,2019-04-13,Seattle
35.0,50022,14 years,6,Male,HR,No,2023-09-19,
38.0,30336,16 years,1,Female,Marketing,Yes,2022-08-13,Austin
30.0,58660,10 years,4,M,Engineering,Yes,2019-03-13,New York
18.0,38603,0 years,8,Female,Engineering,,2013-12-11,Boston
24.0,38448,0 years,10,Male,Sales,N,2017-05-24,Austin
,49680,0 years,1,Male,,No,2017-10-15,Boston
25.0,25000,0 years,10,M,Engineering,Y,,Seattle
18.0,25000,0 years,8,Male,HR,,2014-01-03,
43.0,40254,25 years,7,Female,,Y,2014-02-05,New York
21.0,27859,0 years,1,,Marketing,,,
26.0,42268,3 years,6,,Engineering,No,2017-10-30,Boston
41.0,45582,19 years,6,Female,HR,No,2023-11-10,New York
37.0,78209,,1,,HR,Yes,2023-01-26,Seattle
22.0,35535,1 years,3,,,Yes,2013-01-01,Seattle
18.0,25000,0 years,7,Male,HR,N,2014-07-14,
55.0,76777,34 years,7,F,Marketing,,2011-07-11,Austin
29.0,33107,6 years,7,,Engineering,No,2011-06-26,New York
20.0,61811,0 years,1,Female,Engineering,Y,,Austin
50.0,53830,24 years,5,M,,N,2016-02-15,Seattle
34.0,77765,11 years,10,Male,Marketing,N,2019-05-28,Seattle
39.0,74119,24 years,3,F,HR,No,,Seattle
25.0,30828,0 years,9,,HR,Yes,2019-04-06,Boston
31.0,25000,11 years,5,Female,HR,Yes,2014-01-02,
19.0,37799,0 years,3,F,Marketing,N,,Austin
25.0,50396,9 years,8,Male,HR,,2011-06-03,New York
18.0,46039,0 years,8,F,,No,2021-05-21,Seattle
25.0,46826,3 years,10,M,,Y,2010-11-05,
51.0,60790,31 years,2,Male,,,,New York
19.0,26781,0 years,6,Male,,Yes,2011-02-20,New York
58.0,68417,34 years,9,,Sales,,2018-07-02,Boston
54.0,51098,29 years,5,Male,,N,2016-06-17,Boston
27.0,41906,5 years,5,Female,Marketing,Yes,2015-09-09,Seattle
33.0,38982,10 years,4,Female,,Y,2018-05-11,Austin
44.0,60696,23 years,5,,Sales,Yes,2020-09-27,Boston
33.0,50210,16 years,9,Female,Sales,Yes,2011-05-30,
41.0,50094,17 years,5,Male,,Yes,2020-11-05,Boston
51.0,59721,30 years,7,Female,Sales,No,2014-02-18,Austin
38.0,49444,16 years,7,,,,2016-08-18,Boston
44.0,52360,26 years,6,Male,Marketing,Yes,,
31.0,50390,8 years,10,Female,Engineering,No,2014-12-14,Boston
22.0,26603,0 years,1,,Marketing,Y,2013-12-31,
38.0,62396,14 years,7,M,Engineering,Yes,2015-10-25,Seattle
51.0,48590,24 years,5,Male,,No,2015-01-11,New York
26.0,32866,6 years,3,M,,,2016-02-14,New York
36.0,53591,14 years,6,Female,Sales,Yes,2018-12-18,Boston
,31927,3 years,8,M,,No,2021-10-05,
40.0,35550,16 years,9,,Engineering,,2010-11-18,Austin
27.0,41307,6 years,4,,HR,Y,2013-06-05,New York
19.0,25000,0 years,6,Female,Marketing,Yes,2011-06-03,New York
39.0,67394,18 years,3,,Marketing,,2022-08-29,Boston
48.0,63805,27 years,7,Male,Engineering,,2013-07-13,
31.0,62516,9 years,9,Female,,No,2022-08-31,Seattle
32.0,26440,6 years,8,,HR,,2010-11-27,Austin
34.0,54467,11 years,2,Female,,Yes,2021-02-28,Seattle
40.0,42397,17 years,1,,HR,No,,Boston
22.0,44528,0 years,6,Male,Sales,Y,2011-08-20,New York
25.0,62290,3 years,2,M,Sales,Yes,2018-04-28,Austin
41.0,69711,17 years,8,F,Sales,Y,2012-03-08,Seattle
36.0,48281,13 years,1,Female,HR,Yes,2023-12-20,
27.0,56272,7 years,3,Male,Sales,Yes,2014-11-18,Seattle
28.0,49524,,6,Female,Engineering,Yes,2017-10-30,New York
36.0,61243,18 years,4,Male,Sales,Y,2014-01-12,New York
37.0,43014,10 years,2,Female,Marketing,Yes,2014-12-13,Boston
28.0,33554,0 years,10,,HR,No,2023-06-07,Seattle
25.0,38337,0 years,7,Female,,Y,2023-02-19,New York
38.0,54197,17 years,1,,Engineering,Yes,2016-07-02,New York
34.0,42967,14 years,2,Male,,N,2019-11-03,Seattle
38.0,25000,18 years,8,,Marketing,Yes,2010-02-22,New York
44.0,57512,27 years,3,,Sales,Yes,2021-04-24,
55.0,71596,,10,Female,Marketing,Yes,2020-08-13,Seattle
21.0,47032,,5,F,,,2018-02-01,Boston
34.0,44780,14 years,6,M,Marketing,N,2015-12-14,Boston
31.0,37230,8 years,2,,Marketing,Yes,2016-03-28,
43.0,60665,20 years,9,Female,Marketing,Y,2022-12-18,New York
50.0,66370,27 years,9,,Marketing,N,2018-02-11,New York
19.0,38443,0 years,8,F,Sales,Yes,2011-05-22,Austin
30.0,35092,7 years,5,Female,Marketing,No,2023-12-13,
18.0,53543,0 years,5,F,Engineering,,2011-03-17,New York
37.0,57521,15 years,4,Male,HR,,2018-10-12,New York
45.0,64240,22 years,7,,,,2019-03-24,Austin
19.0,25000,0 years,10,,,Y,2015-07-28,New York
33.0,25000,12 years,8,Female,Engineering,Yes,2013-05-16,New York
29.0,51998,3 years,10,Female,Sales,No,2017-08-10,Seattle
42.0,57891,21 years,10,,HR,Y,2016-12-30,New York
37.0,51665,16 years,7,,,Yes,2010-12-28,Seattle
20.0,34304,0 years,7,Male,,N,2011-06-07,Austin
41.0,51466,20 years,1,Female,Sales,Yes,2010-05-19,New York
33.0,46524,8 years,6,M,,Y,2011-08-29,Boston
40.0,45043,13 years,5,M,Engineering,,2016-05-19,New York
36.0,50680,14 years,2,Female,,,2016-02-06,
38.0,25000,13 years,9,Female,Sales,Yes,2015-12-28,Boston
,26505,5 years,4,F,HR,Yes,2012-03-13,Boston
22.0,31256,1 years,2,Male,Engineering,,2010-06-08,
45.0,40360,25 years,4,,Sales,No,2014-01-08,
49.0,74392,22 years,5,F,,N,2016-08-01,
38.0,47832,12 years,7,Female,Sales,Yes,2016-02-29,
33.0,49379,6 years,10,Female,Sales,Y,2018-11-13,Austin
33.0,49913,9 years,10,Female,Marketing,Yes,,New York
38.0,42002,16 years,6,Male,Marketing,,2020-12-16,Boston
